Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,359,4880,834,5.9,19,10,313,328,478,3547,30,9,7.1,183,331,1333,10,4.0,98,88,823,32,137,47.4,13.1,Own 30.8,2:58,6.31,35.6,2.59
Opp. Stats,321,4730,834,5.7,21,9,294,304,461,3171,21,12,6.4,166,342,1559,16,4.6,106,73,650,22,134,42.5,15.7,Own 27.5,2:47,6.4,35.2,2.38
Lg Rank Offense,9,10,,,21,25,3,,12,3,4,8,7,,21,22,22,23,,,,,,4,11,6,7,10,8,6
Lg Rank Defense,15,20,,,4,5,21,,20,19,13,9,17,,16,19,23,22,,,,,,13,3,10,16,23,23,22
