Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,330,4204,808,5.2,15,6,274,288,439,2966,21,9,6.4,167,341,1238,10,3.6,74,60,499,33,145,42.1,10.3,Own 31.0,2:44,5.79,29.0,2.12
Opp. Stats,245,4710,821,5.7,25,9,271,281,446,3147,16,16,6.6,151,341,1563,14,4.6,97,76,729,23,146,26.7,17.1,Own 25.6,2:37,5.7,32.2,1.62
Lg Rank Offense,15,27,,,11,14,21,,22,22,17,8,19,,17,27,22,32,,,,,,15,21,5,18,28,24,19
Lg Rank Defense,2,18,,,1,5,11,,11,18,2,2,20,,14,22,19,25,,,,,,32,1,3,6,7,13,3
