Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,349,4362,852,5.1,14,5,266,348,525,3204,29,9,6.0,169,316,1158,10,3.7,67,69,597,30,152,38.2,7.9,Own 31.3,2:42,5.74,28.6,2.17
Opp. Stats,237,3940,811,4.9,25,8,226,253,452,2628,19,17,5.3,134,314,1312,7,4.2,69,88,862,23,152,27.6,15.8,Own 27.6,2:26,5.5,25.8,1.51
Lg Rank Offense,12,23,,,6,7,24,,3,16,6,8,23,,25,31,22,31,,,,,,19,30,3,21,30,27,18
Lg Rank Defense,1,3,,,1,10,1,,16,2,7,1,2,,4,6,1,11,,,,,,30,2,12,1,1,2,2
