Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,368,4808,856,5.6,14,9,296,312,428,3023,22,5,6.7,164,402,1785,21,4.4,114,80,843,18,142,44.4,9.2,Own 32.3,3:01,6.20,33.9,2.54
Opp. Stats,265,3879,780,5.0,20,7,244,262,432,2720,22,13,5.8,143,312,1159,7,3.7,59,55,438,42,141,35.5,12.1,Own 27.1,2:36,5.7,27.4,1.89
Lg Rank Offense,7,13,,,6,23,10,,25,21,16,2,13,,6,7,1,13,,,,,,11,26,1,5,15,13,7
Lg Rank Defense,4,2,,,7,13,4,,7,4,17,7,5,,2,2,1,2,,,,,,26,15,7,5,6,4,7
