Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,297,4979,941,5.3,16,6,301,348,531,3515,25,10,6.3,182,382,1464,8,3.8,92,72,622,27,147,35.4,10.2,Own 25.8,2:51,6.58,33.7,1.96
Opp. Stats,362,4382,795,5.5,15,6,256,273,431,2822,26,9,6.2,145,341,1560,13,4.6,87,77,687,24,142,43.7,9.9,Own 33.1,2:38,5.8,30.7,2.41
Lg Rank Offense,22,8,,,15,14,7,,1,4,9,14,20,,9,16,29,28,,,,,,23,24,30,11,4,15,23
Lg Rank Defense,26,9,,,22,20,6,,5,7,24,19,11,,14,21,16,24,,,,,,10,24,32,8,8,10,23
