Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,348,4864,822,5.9,14,6,287,243,389,2833,24,8,7.0,154,416,2031,16,4.9,109,84,740,24,135,42.2,10.4,Own 28.5,2:58,6.24,35.8,2.45
Opp. Stats,368,4720,847,5.6,20,10,302,309,476,3237,26,10,6.3,180,337,1483,16,4.4,101,73,592,21,135,44.4,14.8,Own 30.4,2:49,6.4,34.8,2.61
Lg Rank Offense,13,11,,,6,14,15,,30,25,11,7,9,,3,3,9,4,,,,,,14,20,19,7,14,6,10
Lg Rank Defense,27,19,,,7,3,25,,25,20,24,15,16,,11,16,23,15,,,,,,8,6,26,17,27,20,29
