Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,295,4634,761,6.1,14,8,255,297,432,3513,25,6,7.4,174,289,1121,8,3.9,65,63,505,16,134,39.6,9.0,Own 26.4,2:38,5.86,34.5,2.17
Opp. Stats,359,5286,874,6.0,8,5,315,308,447,3306,25,3,6.9,184,396,1980,17,5.0,111,61,558,20,138,43.5,5.8,Own 27.5,3:07,6.5,38.3,2.52
Lg Rank Offense,23,18,,,6,21,28,,24,5,9,5,3,,30,32,29,26,,,,,,17,28,28,24,23,12,17
Lg Rank Defense,25,31,,,32,23,29,,12,24,22,32,26,,30,31,27,31,,,,,,11,32,10,32,29,32,25
