Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,261,4389,822,5.3,21,7,261,315,508,3061,19,14,5.7,169,282,1328,9,4.7,69,87,835,23,139,32.4,14.4,Own 27.0,2:37,6.09,31.6,1.78
Opp. Stats,383,5446,870,6.3,14,5,317,310,444,3554,28,9,7.7,170,410,1892,16,4.6,109,69,615,38,149,47.0,9.4,Own 30.3,2:51,6.0,36.5,2.59
Lg Rank Offense,28,22,,,25,18,26,,6,20,21,28,26,,32,23,26,8,,,,,,28,8,27,25,16,22,27
Lg Rank Defense,28,32,,,24,23,30,,10,28,29,19,32,,31,30,23,26,,,,,,4,26,25,22,13,27,26
