Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,183,3507,753,4.7,17,5,213,230,401,2159,11,12,4.9,110,316,1348,7,4.3,76,85,803,27,140,25.0,12.1,Own 25.6,2:29,5.54,25.0,1.26
Opp. Stats,393,5195,887,5.9,16,7,319,346,487,3728,28,9,7.3,199,379,1467,14,3.9,81,82,758,39,143,47.6,11.2,Own 31.4,3:02,6.4,36.2,2.60
Lg Rank Offense,32,32,,,17,7,32,,28,32,30,24,31,,25,21,31,16,,,,,,32,13,31,31,31,32,32
Lg Rank Defense,31,30,,,21,13,31,,27,31,29,19,30,,27,12,19,4,,,,,,3,18,28,29,26,26,27
