Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,307,4628,801,5.8,13,3,279,315,450,3226,15,10,6.8,164,325,1402,16,4.3,86,84,646,29,126,45.2,10.3,Own 28.4,3:11,6.62,36.7,2.34
Opp. Stats,332,4737,828,5.7,18,13,300,330,477,3260,23,5,6.6,182,332,1477,14,4.4,88,71,606,30,127,48.0,13.4,Own 30.0,2:59,6.7,37.0,2.61
Lg Rank Offense,19,19,,,5,1,19,,19,15,28,14,12,,22,20,9,14,,,,,,9,23,20,2,3,4,13
Lg Rank Defense,20,21,,,13,1,24,,26,23,20,29,21,,9,13,19,19,,,,,,2,10,24,27,32,29,28
