Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,358,5063,886,5.7,15,5,320,309,461,3097,23,10,6.4,173,404,1966,20,4.9,119,94,727,28,142,44.4,10.6,Own 28.9,2:42,6.42,35.6,2.54
Opp. Stats,303,4478,850,5.3,18,8,294,306,466,2924,20,10,5.8,166,347,1554,12,4.5,95,86,707,33,137,39.4,10.9,Own 28.6,2:58,6.4,32.6,2.12
Lg Rank Offense,10,4,,,11,7,2,,18,18,13,14,18,,5,4,2,6,,,,,,11,18,15,21,7,7,7
Lg Rank Defense,13,12,,,13,10,21,,22,11,11,15,6,,18,18,12,20,,,,,,19,20,14,26,24,14,15
