Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,370,4656,817,5.7,16,5,279,322,498,3393,30,11,6.6,177,303,1263,12,4.2,66,72,617,36,145,45.5,10.3,Own 30.8,2:32,5.81,32.1,2.52
Opp. Stats,294,4294,837,5.1,21,7,259,342,493,3242,24,14,6.1,172,304,1052,9,3.5,66,77,822,21,146,34.2,14.4,Own 29.1,2:49,5.9,29.4,1.93
Lg Rank Offense,6,17,,,15,7,19,,9,11,4,20,15,,28,26,15,19,,,,,,7,21,6,29,26,21,9
Lg Rank Defense,11,7,,,4,13,7,,28,21,21,6,9,,1,1,5,1,,,,,,27,8,18,17,10,7,8
