Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,325,5062,887,5.7,21,10,295,324,475,3386,18,11,6.9,170,395,1676,19,4.2,108,56,529,17,153,34.6,12.4,Own 28.6,2:43,5.94,33.0,2.01
Opp. Stats,246,3716,815,4.6,21,8,233,286,458,2492,14,13,5.0,139,315,1224,10,3.9,77,61,452,17,149,27.5,14.1,Own 28.8,2:27,5.6,24.9,1.47
Lg Rank Offense,17,5,,,25,25,11,,13,12,23,20,10,,7,8,3,17,,,,,,25,12,18,20,20,18,22
Lg Rank Defense,3,1,,,4,10,2,,19,1,1,7,1,,5,3,8,6,,,,,,31,9,17,2,3,1,1
