Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,410,5169,822,6.3,9,5,294,312,448,3559,39,4,7.7,181,360,1610,11,4.5,90,75,604,23,133,48.9,6.0,Own 27.8,3:14,6.29,38.8,2.97
Opp. Stats,323,4364,780,5.6,13,5,276,281,433,2938,22,8,6.3,155,312,1426,13,4.6,94,68,637,27,130,40.8,10.0,Own 28.6,2:42,6.2,33.6,2.30
Lg Rank Offense,1,2,,,1,7,13,,20,2,1,1,2,,12,10,20,12,,,,,,2,32,23,1,12,2,1
Lg Rank Defense,17,8,,,27,23,13,,8,12,17,24,15,,2,11,16,23,,,,,,16,23,14,11,17,16,20
