Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,277,4328,816,5.3,18,4,280,235,361,2410,8,14,6.2,131,427,1918,19,4.5,123,50,442,26,130,36.9,13.8,Own 29.6,3:02,6.45,33.1,1.94
Opp. Stats,279,4453,779,5.7,19,4,261,260,394,2841,17,15,6.9,144,366,1612,12,4.4,98,69,542,19,127,39.4,15.0,Own 25.2,3:02,6.3,34.9,2.09
Lg Rank Offense,26,24,,,19,3,18,,31,29,32,28,21,,1,5,3,9,,,,,,21,9,12,3,5,17,24
Lg Rank Defense,7,10,,,11,30,8,,1,8,4,3,25,,23,23,12,16,,,,,,20,5,1,29,21,21,14
