Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,310,4570,822,5.6,14,4,290,306,482,3396,23,10,6.5,185,303,1174,13,3.9,72,74,659,33,139,39.6,9.4,Own 28.7,2:37,6.06,32.7,2.22
Opp. Stats,389,5157,858,6.0,12,5,326,303,448,3430,26,7,7.4,194,392,1727,21,4.4,104,88,675,28,135,45.2,8.9,Own 27.3,3:04,6.5,38.3,2.75
Lg Rank Offense,18,20,,,6,3,14,,10,9,13,14,17,,28,30,14,27,,,,,,16,25,16,25,17,19,16
Lg Rank Defense,29,29,,,29,23,32,,13,27,24,27,31,,29,29,31,17,,,,,,7,27,9,31,28,31,31
