Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,350,4801,836,5.7,20,13,287,304,446,3268,24,7,7.0,165,369,1533,15,4.2,95,74,636,27,134,48.5,14.9,Own 29.8,3:02,6.45,35.8,2.62
Opp. Stats,391,4994,839,6.0,15,5,312,297,472,3329,22,10,6.8,182,352,1665,21,4.7,97,83,791,33,132,50.8,10.6,Own 28.6,2:50,6.6,37.8,2.83
Lg Rank Offense,11,14,,,23,30,15,,21,14,11,6,8,,11,12,11,21,,,,,,3,5,10,3,6,5,5
Lg Rank Defense,30,25,,,22,23,27,,24,25,17,15,24,,19,25,31,30,,,,,,1,21,14,20,30,30,32
