Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,328,4774,880,5.4,15,4,295,318,500,3496,20,11,6.6,188,347,1278,12,3.7,74,69,615,33,144,45.8,10.4,Own 29.3,2:45,6.35,33.1,2.26
Opp. Stats,322,5078,838,6.1,18,9,289,344,494,3663,26,9,7.1,186,319,1415,12,4.4,77,81,726,26,142,40.1,12.7,Own 27.9,2:42,6.1,35.7,2.27
Lg Rank Offense,16,15,,,11,3,11,,8,6,18,20,16,,14,25,15,30,,,,,,6,19,13,14,9,16,15
Lg Rank Defense,16,28,,,13,5,20,,29,30,24,19,29,,6,10,12,18,,,,,,18,12,13,11,15,25,18
