Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,403,5579,849,6.6,12,7,322,347,506,4127,33,5,7.9,212,324,1452,11,4.5,84,89,755,26,132,50.8,9.1,Own 28.4,3:00,6.62,42.2,2.86
Opp. Stats,281,4665,839,5.6,20,5,286,285,457,2996,21,15,6.2,159,358,1669,11,4.7,96,76,599,31,137,36.5,14.6,Own 25.6,2:52,6.3,33.9,2.03
Lg Rank Offense,2,1,,,3,18,1,,7,1,3,2,1,,23,17,20,11,,,,,,1,27,20,6,1,1,2
Lg Rank Defense,8,17,,,7,23,18,,18,14,13,3,12,,21,26,10,29,,,,,,23,7,3,23,19,17,10
