Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,363,4444,790,5.6,15,6,252,210,335,2185,19,9,6.0,114,424,2259,19,5.3,121,84,807,17,140,42.9,10.7,Own 32.0,2:50,5.81,31.6,2.37
Opp. Stats,273,4545,862,5.3,19,11,296,328,505,3068,19,8,5.8,185,329,1477,12,4.5,80,62,515,31,142,31.7,12.7,Own 25.8,2:44,6.2,31.7,1.85
Lg Rank Offense,8,21,,,11,14,29,,32,31,21,8,24,,2,1,3,1,,,,,,13,17,2,12,25,23,11
Lg Rank Defense,5,15,,,11,2,23,,30,16,7,24,4,,8,13,12,21,,,,,,29,12,5,15,18,12,5
