Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,238,3901,798,4.9,20,10,237,261,419,2386,9,10,5.2,139,338,1515,12,4.5,77,68,529,21,139,33.8,13.7,Own 30.0,2:44,5.94,28.0,1.62
Opp. Stats,291,4458,837,5.3,20,10,278,315,469,3139,18,10,6.3,173,335,1319,11,3.9,84,66,498,21,136,40.4,13.2,Own 29.2,2:56,6.4,32.8,2.07
Lg Rank Offense,31,31,,,23,25,31,,26,30,31,14,30,,18,14,15,10,,,,,,27,10,9,18,22,28,31
Lg Rank Defense,9,11,,,7,3,15,,23,17,6,15,13,,10,7,10,8,,,,,,17,11,19,25,22,15,13
