Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,277,4239,851,5.0,23,7,270,276,482,2598,18,16,4.9,142,316,1641,12,5.2,93,80,628,35,151,29.1,15.2,Own 27.1,2:30,5.75,28.0,1.70
Opp. Stats,328,4523,864,5.2,13,9,276,292,431,2868,19,4,6.1,169,390,1655,18,4.2,81,93,824,26,158,36.7,7.6,Own 31.0,2:37,5.6,28.5,2.04
Lg Rank Offense,26,26,,,29,18,22,,10,28,23,31,32,,25,9,15,2,,,,,,31,3,25,30,29,29,28
Lg Rank Defense,19,14,,,27,5,13,,5,9,7,31,8,,28,24,30,12,,,,,,22,30,27,6,4,6,12
