Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,298,4838,909,5.3,24,13,308,342,528,3396,20,11,6.0,190,347,1442,10,4.2,97,80,660,21,142,38.7,16.9,Own 27.9,2:34,6.62,33.9,2.01
Opp. Stats,400,4912,847,5.8,14,9,285,264,406,2797,28,5,6.5,140,417,2115,17,5.1,118,69,534,27,142,45.8,9.9,Own 32.0,2:55,6.1,34.5,2.64
Lg Rank Offense,21,12,,,30,30,5,,2,9,18,20,22,,14,18,22,20,,,,,,18,2,22,28,2,14,21
Lg Rank Defense,32,23,,,24,5,17,,2,6,29,29,19,,32,32,27,32,,,,,,5,24,29,24,16,19,30
