Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,300,4738,846,5.6,25,10,283,307,468,3312,18,15,6.6,177,347,1426,17,4.1,79,75,640,27,145,35.9,15.2,Own 27.7,2:48,5.97,32.7,2.04
Opp. Stats,311,4109,794,5.2,18,7,255,270,417,2734,21,11,6.2,144,354,1375,8,3.9,81,66,596,30,146,38.4,11.6,Own 29.7,2:33,5.6,28.0,1.95
Lg Rank Offense,20,16,,,31,25,17,,14,13,23,30,14,,14,19,7,22,,,,,,22,4,24,13,18,20,20
Lg Rank Defense,14,5,,,13,13,5,,3,5,13,12,10,,20,8,3,5,,,,,,21,17,22,4,5,5,9
