Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,282,4158,835,5.0,18,5,263,330,515,2946,23,13,5.4,178,287,1212,6,4.2,63,79,685,22,144,34.7,11.8,Own 29.7,2:41,5.96,28.9,1.85
Opp. Stats,291,4517,856,5.3,14,7,274,283,451,3016,20,7,6.3,155,375,1501,9,4.0,87,80,711,32,151,36.4,8.6,Own 29.4,2:40,5.9,29.9,1.86
Lg Rank Offense,25,28,,,19,7,25,,4,24,13,27,28,,31,28,32,18,,,,,,24,14,11,23,19,25,25
Lg Rank Defense,9,13,,,24,13,12,,14,15,11,27,14,,26,17,5,9,,,,,,24,28,21,10,9,8,6
