Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,244,4151,873,4.8,22,13,268,330,509,2951,16,9,5.3,176,318,1200,9,3.8,71,73,595,21,143,32.2,14.7,Own 27.1,2:52,6.29,28.8,1.66
Opp. Stats,338,4970,835,6.0,12,3,284,285,451,3258,25,9,7.0,167,369,1712,9,4.6,94,83,670,23,144,44.4,8.3,Own 29.7,2:38,6.0,34.5,2.28
Lg Rank Offense,30,29,,,27,30,23,,5,23,27,8,29,,24,29,26,29,,,,,,30,6,25,10,13,26,30
Lg Rank Defense,22,24,,,29,31,16,,14,22,22,19,28,,25,28,5,27,,,,,,8,29,22,8,12,18,19
