Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,257,4272,815,5.2,29,8,242,248,436,2749,18,21,6.0,136,354,1523,9,4.3,73,64,565,33,152,32.2,19.1,Own 26.3,2:26,5.52,27.8,1.68
Opp. Stats,347,4572,859,5.3,11,3,266,301,456,2869,16,8,5.8,157,367,1703,17,4.6,89,78,721,20,151,43.0,7.3,Own 32.7,2:42,5.9,30.1,2.17
Lg Rank Offense,29,25,,,32,21,30,,23,27,23,32,25,,13,13,26,15,,,,,,29,1,29,32,32,30,29
Lg Rank Defense,23,16,,,31,31,10,,17,10,2,24,7,,24,27,27,28,,,,,,12,31,30,11,11,9,16
