Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,393,5038,843,6.0,17,5,304,330,468,3464,36,12,6.8,189,334,1574,12,4.7,88,71,551,27,145,45.5,11.7,Own 31.1,2:45,5.94,34.6,2.69
Opp. Stats,324,5074,894,5.7,18,7,313,363,539,3833,21,11,6.7,208,319,1241,16,3.9,83,81,692,22,144,41.0,11.8,Own 26.3,2:43,6.4,35.3,2.26
Lg Rank Offense,3,6,,,17,7,6,,14,7,2,24,11,,19,11,15,7,,,,,,7,15,4,14,21,11,4
Lg Rank Defense,18,27,,,13,13,28,,32,32,13,12,23,,6,4,23,7,,,,,,15,16,6,14,25,24,17
