Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,333,5013,823,6.1,22,10,301,270,400,3103,27,12,7.2,163,392,1910,15,4.9,114,74,590,24,144,37.5,14.6,Own 25.6,2:45,5.84,34.7,2.29
Opp. Stats,355,4895,845,5.8,17,6,286,302,461,3336,26,11,6.9,172,363,1559,8,4.3,93,68,598,21,138,45.7,10.1,Own 32.8,2:50,6.3,35.2,2.36
Lg Rank Offense,14,7,,,27,25,7,,29,17,8,24,5,,8,6,11,5,,,,,,20,7,31,14,24,10,14
Lg Rank Defense,24,22,,,19,20,18,,20,26,24,12,27,,22,19,3,14,,,,,,6,22,31,20,20,22,21
