Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,372,4897,848,5.8,12,3,300,311,462,3428,20,9,7.2,172,371,1469,15,4.0,97,80,766,31,138,44.9,8.7,Own 30.5,2:55,6.36,35.5,2.36
Opp. Stats,300,4252,796,5.3,22,7,263,276,430,2962,17,15,6.5,153,338,1290,15,3.8,83,72,628,27,135,36.3,15.6,Own 25.5,2:49,6.1,31.5,2.04
Lg Rank Offense,5,9,,,3,1,9,,17,8,18,8,6,,10,15,11,24,,,,,,10,29,8,9,8,9,12
Lg Rank Defense,12,6,,,3,13,9,,4,13,4,3,18,,12,5,22,3,,,,,,25,4,2,17,14,11,11
