Player,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds,TD,Int,NY/A,1stD,Att,Yds,TD,Y/A,1stD,Pen,Yds,1stPy,#Dr,Sc%,TO%,Start,Time,Plays,Yds,Pts
Team Stats,390,5128,840,6.1,9,4,310,266,405,3077,28,5,7.2,167,415,2051,18,4.9,109,74,696,34,137,46.7,6.6,Own 28.7,2:45,6.31,37.1,2.77
Opp. Stats,336,5037,887,5.7,18,6,311,346,527,3557,28,12,6.6,198,346,1480,13,4.3,87,94,763,26,137,41.6,12.4,Own 27.1,3:00,6.6,36.6,2.45
Lg Rank Offense,4,3,,,1,3,4,,27,19,7,2,4,,4,2,6,3,,,,,,5,31,16,14,10,3,3
Lg Rank Defense,21,26,,,13,20,26,,31,29,29,9,22,,17,15,16,13,,,,,,14,14,7,28,31,28,24
